Datetime,Water Level (m)
2024-06-26 06:00:00,0.20256259
2024-06-26 07:00:00,0.7044918
2024-06-26 08:00:00,0.7116717
2024-06-26 09:00:00,0.6534501
2024-06-26 10:00:00,0.7323959
2024-06-26 11:00:00,1.6116065
2024-06-26 12:00:00,1.832617
2024-06-26 13:00:00,1.926475
2024-06-26 14:00:00,1.9693038
2024-06-26 15:00:00,1.6119124
2024-06-26 16:00:00,1.6654685
2024-06-26 17:00:00,1.8407593
2024-06-26 18:00:00,1.4573082
2024-06-26 19:00:00,1.811347
2024-06-26 20:00:00,1.2895254
2024-06-26 21:00:00,1.5755256
2024-06-26 22:00:00,2.1536314
2024-06-26 23:00:00,1.9157155
2024-06-27 00:00:00,2.5153956
2024-06-27 01:00:00,2.2721283
2024-06-27 02:00:00,2.4153123
2024-06-27 03:00:00,2.1218355
2024-06-27 04:00:00,2.1068358
2024-06-27 05:00:00,1.7595925
2024-06-27 06:00:00,2.3514943
2024-06-27 07:00:00,1.7184409
2024-06-27 08:00:00,2.1306643
2024-06-27 09:00:00,1.8510317
2024-06-27 10:00:00,1.9256718
2024-06-27 11:00:00,2.7357776
2024-06-27 12:00:00,2.4044886
2024-06-27 13:00:00,2.4042704
2024-06-27 14:00:00,2.9015205
2024-06-27 15:00:00,2.3434923
2024-06-27 16:00:00,2.2343667
2024-06-27 17:00:00,2.6400158
2024-06-27 18:00:00,2.0085778
2024-06-27 19:00:00,1.8579081
2024-06-27 20:00:00,2.1893654
2024-06-27 21:00:00,2.132098
2024-06-27 22:00:00,1.9480597
2024-06-27 23:00:00,2.569878
2024-06-28 00:00:00,2.4154303
2024-06-28 01:00:00,2.9458628
2024-06-28 02:00:00,2.6929305
2024-06-28 03:00:00,2.3918266
2024-06-28 04:00:00,2.6799853
2024-06-28 05:00:00,2.205889
2024-06-28 06:00:00,2.5685508
2024-06-28 07:00:00,2.017707
2024-06-28 08:00:00,1.7402096
2024-06-28 09:00:00,2.3532581
2024-06-28 10:00:00,2.0775313
2024-06-28 11:00:00,2.783579
2024-06-28 12:00:00,2.434164
2024-06-28 13:00:00,2.6480138
2024-06-28 14:00:00,2.9406633
2024-06-28 15:00:00,2.4913902
2024-06-28 16:00:00,2.7690163
2024-06-28 17:00:00,2.670906
2024-06-28 18:00:00,2.1487496
2024-06-28 19:00:00,2.3890727
2024-06-28 20:00:00,2.2312663
2024-06-28 21:00:00,1.7511634
2024-06-28 22:00:00,2.3873777
2024-06-28 23:00:00,2.0350134
2024-06-29 00:00:00,2.6986618
2024-06-29 01:00:00,2.569379
2024-06-29 02:00:00,3.0035503
2024-06-29 03:00:00,2.6083632
2024-06-29 04:00:00,2.483344
2024-06-29 05:00:00,2.8510592
2024-06-29 06:00:00,2.3486967
2024-06-29 07:00:00,2.0583034
2024-06-29 08:00:00,2.5403697
2024-06-29 09:00:00,1.9153345
2024-06-29 10:00:00,1.9453708
2024-06-29 11:00:00,2.6991725
2024-06-29 12:00:00,2.2995422
2024-06-29 13:00:00,2.7346823
2024-06-29 14:00:00,2.9828513
2024-06-29 15:00:00,2.787408
2024-06-29 16:00:00,2.4478614
2024-06-29 17:00:00,2.874469
2024-06-29 18:00:00,2.5558164
2024-06-29 19:00:00,2.133007
2024-06-29 20:00:00,2.6437593
2024-06-29 21:00:00,2.099862
2024-06-29 22:00:00,1.7887857
2024-06-29 23:00:00,2.5790503
2024-06-30 00:00:00,2.319972
2024-06-30 01:00:00,2.2312584
2024-06-30 02:00:00,2.8692005
2024-06-30 03:00:00,2.84843
2024-06-30 04:00:00,2.4712682
2024-06-30 05:00:00,2.9582515
2024-06-30 06:00:00,2.7275252
2024-06-30 07:00:00,2.26913
2024-06-30 08:00:00,2.555345
2024-06-30 09:00:00,2.438053
2024-06-30 10:00:00,1.9217706
2024-06-30 11:00:00,2.4324608
2024-06-30 12:00:00,2.2616444
2024-06-30 13:00:00,2.1473267
2024-06-30 14:00:00,2.907599
2024-06-30 15:00:00,2.644871
2024-06-30 16:00:00,2.550205
2024-06-30 17:00:00,2.8514154
2024-06-30 18:00:00,2.5927124
2024-06-30 19:00:00,2.3845563
2024-06-30 20:00:00,2.606702
2024-06-30 21:00:00,2.0621328
2024-06-30 22:00:00,2.4273605
2024-06-30 23:00:00,1.9787762
2024-07-01 00:00:00,1.9078643
2024-07-01 01:00:00,2.6157174
2024-07-01 02:00:00,2.1925156
2024-07-01 03:00:00,2.849946
2024-07-01 04:00:00,2.850022
2024-07-01 05:00:00,2.469914
2024-07-01 06:00:00,2.8397338
2024-07-01 07:00:00,2.4290926
2024-07-01 08:00:00,2.8169312
2024-07-01 09:00:00,2.328457
2024-07-01 10:00:00,2.062304
2024-07-01 11:00:00,2.4911432
2024-07-01 12:00:00,2.092184
2024-07-01 13:00:00,2.0874448
2024-07-01 14:00:00,2.7899926
2024-07-01 15:00:00,2.436738
2024-07-01 16:00:00,2.8354182
2024-07-01 17:00:00,2.8732667
2024-07-01 18:00:00,2.5310085
2024-07-01 19:00:00,2.89768
2024-07-01 20:00:00,2.3620608
2024-07-01 21:00:00,2.3351552
2024-07-01 22:00:00,2.6167188
2024-07-01 23:00:00,1.9856217
2024-07-02 00:00:00,1.9728334
2024-07-02 01:00:00,2.4386983
2024-07-02 02:00:00,2.0478306
2024-07-02 03:00:00,2.3217502
2024-07-02 04:00:00,2.4913816
2024-07-02 05:00:00,2.4683192
2024-07-02 06:00:00,3.031802
